,x
1680,27.6
1681,30.29
1682,30.65
1683,37.24
1684,27.05
1685,29.45
1686,26.74
1687,25.91
1688,23.62
1689,27.72
1690,22.38
1691,33.08
1692,33.37
1693,25.33
1694,23.58
1695,22.61
1696,36.33
1697,27.13
1698,28.46
1699,29.48
1700,26.66
1701,22.52
1702,22.91
1703,21.22
1704,24.89
1705,32.44
1706,20.51
1707,25.76
1708,27.37
1709,22.14
1710,31.59
1711,27.53
1712,28.02
1713,22.1
1714,29.36
1715,36.04
1716,31.91
1717,25.12
1718,33.64
1719,28.14
1720,26.9
1721,22.01
1722,36.49
1723,22.91
1724,26.97
1725,31.28
1726,25.41
1727,31.79
1728,28.36
1729,21.61
1730,25.38
1731,24.11
1732,26.76
1733,25.32
1734,17.79
1735,7.68
1736,19.69
1737,12.42
1738,25.91
1739,19.1
1740,10.16
1741,14.37
1742,19.42
1743,15.86
1744,23.8
1745,21.26
1746,9.24
1747,6.88
1748,10.38
1749,15.96
1750,11.23
1751,15.04
1752,20.93
1753,21.58
1754,19.24
1755,16.54
1756,18.28
1757,13.24
1758,14.77
1759,41.07
1760,31.63
1761,22.11
1762,17.48
1763,16.0
1764,17.26
1765,14.94
1766,11.24
1767,29.61
1768,20.0
1769,10.2
1770,10.4
1771,21.66
1772,9.41
1773,22.23
1774,8.3
1775,16.16
1776,40.61
1777,22.25
1778,6.33
1779,36.11
1780,19.0
1781,19.38
1782,37.83
1783,13.63
1784,13.18
1785,24.61
1786,42.75
1787,20.98
1788,12.82
1789,40.13
1790,8.89
1791,26.56
1792,18.26
1793,15.35
1794,25.1
1795,20.91
1796,13.28
1797,18.38
1798,9.18
1799,18.04
1800,12.96
1801,25.51
1802,27.94
1803,15.13
1804,19.02
1805,14.62
1806,20.27
1807,24.18
1808,16.2
1809,13.13
1810,7.7
1811,17.87
1812,13.55
1813,20.15
1814,21.06
1815,16.16
1816,23.58
1817,7.54
1818,23.98
1819,23.74
1820,13.36
1821,17.48
1822,8.23
1823,24.03
1824,9.22
1825,12.24
1826,35.85
1827,20.78
1828,17.1
1829,5.88
1830,12.59
1831,20.31
1832,12.25
1833,14.83
1834,21.62
1835,19.4
1836,20.26
1837,18.11
1838,13.78
1839,10.13
1840,14.62
1841,8.52
1842,35.88
1843,9.41
1844,15.3
1845,27.15
1846,17.48
1847,14.39
1848,7.27
1849,14.94
1850,9.37
1851,36.96
1852,22.37
1853,17.2
1854,17.26
1855,28.49
1856,18.81
1857,15.57
1858,19.23
1859,21.95
1860,19.71
1861,47.28
1862,32.74
1863,10.54
1864,29.62
1865,16.85
1866,15.34
1867,11.98
1868,10.45
1869,20.43
1870,11.04
1871,8.83
1872,14.18
1873,10.88
1874,11.1
1875,15.89
1876,23.42
1877,12.14
1878,17.4
1879,19.74
1880,9.71
1881,27.92
1882,23.53
1883,22.75
1884,13.47
1885,18.73
1886,11.09
1887,22.16
1888,15.9
1889,16.19
1890,19.18
1891,19.97
1892,12.48
1893,32.01
1894,20.56
1895,10.76
1896,14.6
1897,38.84
1898,19.45
1899,19.85
1900,28.54
1901,20.13
1902,18.53
1903,18.29
1904,12.01
1905,16.24
1906,21.69
1907,13.3
1908,23.05
1909,15.24
1910,16.18
1911,14.36
1912,14.25
1913,14.21
1914,32.11
1915,16.99
1916,16.03
1917,12.4
1918,67.83
1919,29.5
1920,15.72
1921,10.87
1922,15.78
1923,17.71
1924,12.51
1925,33.84
1926,21.75
1927,30.9
1928,25.81
1929,9.04
1930,9.3
1931,22.48
1932,12.42
1933,17.29
1934,15.84
1935,9.88
1936,18.58
1937,39.43
1938,18.43
1939,25.36
1940,14.04
1941,24.91
1942,10.32
1943,10.96
1944,28.8
1945,10.85
1946,14.98
1947,14.26
1948,10.45
1949,12.22
1950,10.46
1951,23.23
1952,16.49
1953,10.9
1954,25.15
1955,14.79
1956,16.18
1957,21.72
1958,23.63
1959,27.12
1960,31.88
1961,10.94
1962,25.02
1963,31.96
1964,16.09
1965,20.75
1966,18.86
1967,14.23
1968,11.94
1969,17.08
1970,5.59
1971,7.05
1972,29.17
1973,19.53
1974,27.66
1975,8.27
1976,11.42
1977,20.59
1978,13.61
1979,25.91
1980,51.72
1981,24.83
1982,18.85
1983,8.44
1984,36.5
1985,26.44
1986,19.07
1987,16.15
1988,15.36
1989,15.46
1990,18.82
1991,17.7
1992,36.96
1993,32.21
1994,40.56
1995,11.2
1996,28.83
1997,34.17
1998,32.7
1999,13.24
2000,10.62
2001,20.28
2002,30.3
2003,25.59
2004,12.01
2005,17.23
2006,12.74
2007,9.25
2008,27.38
2009,18.25
2010,11.93
2011,18.08
2012,20.69
2013,19.09
2014,23.69
2015,13.71
2016,14.92
2017,22.32
2018,30.93
2019,20.83
2020,20.66
2021,13.05
2022,9.16
2023,21.46
2024,27.45
2025,28.12
2026,18.23
2027,7.15
2028,30.66
2029,12.91
2030,13.37
2031,11.0
2032,15.77
2033,21.85
2034,28.78
2035,9.24
2036,20.86
2037,12.19
2038,28.05
2039,22.3
2040,20.14
2041,22.12
2042,8.98
2043,15.01
2044,11.87
2045,29.25
2046,15.95
2047,8.1
2048,23.02
2049,15.13
2050,18.44
2051,12.7
2052,18.73
2053,37.03
2054,21.16
2055,31.32
2056,13.82
2057,24.36
2058,24.33
2059,8.95
2060,30.12
2061,22.05
2062,12.04
2063,24.12
2064,21.02
2065,18.86
2066,22.32
2067,14.5
2068,10.26
2069,15.72
2070,13.0
2071,32.03
2072,9.88
2073,25.22
2074,18.68
2075,20.53
2076,22.37
2077,10.87
2078,16.11
2079,10.12
2080,37.33
2081,23.43
2082,12.39
2083,26.95
2084,12.62
2085,14.89
2086,50.8
2087,10.62
2088,18.38
2089,8.45
2090,8.52
2091,17.98
2092,20.71
2093,20.19
2094,6.59
2095,12.31
2096,22.38
2097,9.02
2098,17.64
2099,31.5
2100,31.2
2101,29.0
2102,11.43
2103,20.0
2104,24.74
2105,15.27
2106,11.09
2107,8.23
2108,11.36
2109,38.06
2110,15.05
2111,9.83
2112,21.65
2113,30.78
2114,17.42
2115,18.88
2116,16.59
2117,13.36
2118,26.72
2119,14.32
2120,23.09
2121,21.03
2122,20.93
2123,26.75
2124,28.06
2125,23.65
2126,15.51
2127,15.31
2128,11.08
2129,18.69
2130,16.85
2131,14.41
2132,23.58
2133,8.78
2134,18.5
2135,16.58
2136,36.54
2137,73.61
2138,28.31
2139,15.45
